NTD ID,Agency Name,Reporter Type,Subrecipient Type,Reporting Module,Mode,TOS,Time Period,Time Service Begins,Time Service Ends,Vehicles/Passenger Cars Operated in Maximum Service,Vehicles/Passenger Cars Available for Maximum Service,Trains in Operation,Vehicles/Passenger Cars in Operation,Actual Vehicles/Passenger Car Miles,Actual Vehicles/Passenger Car Revenue Miles,Actual Vehicle/Passenger Deadhead Miles,Scheduled Actual Vehicle/Passenger Car Revenue Miles,Actual Vehicle/Passenger Car Hours,Actual Vehicle/Passenger Car Revenue Hours,Actual Vehicle/Passenger Car Deadhead Hours,Charter Service Hours,School Bus Hours,Train Miles,Train Revenue Miles,Train Deadhead Miles,Train Hours,Train Revenue Hours,Train Deadhead Hours,Unlinked Passenger Trips (UPT),ADA UPT,Sponsored Service UPT,Passenger Miles,Days of Service Operated,Days Not Operated Due to Strikes,Strike Comment,Days Not Operated Due to Emergencies,Emergency Comment,Non-Statutory Mixed Traffic,DRM Mixed Traffic ROW
00002,Spokane Transit Authority,Full Reporter,,Urban,DR,PT,Average Typical Saturday,5:25 AM,12:35 AM,,,,29,"3,327","2,928",399,,196,176,20,,,,,,,,,358,,,"2,599",51,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,DR,PT,Average Typical Sunday,7:05 AM,9:15 PM,,,,29,"2,834","2,456",378,,167,148,19,,,,,,,,,301,,,"2,277",59,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,DR,PT,Average Typical Weekday,4:55 AM,12:35 AM,,,,43,"2,184","1,861",323,,137,118,19,,,,,,,,,284,,,"2,214",255,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,DR,PT,Average Weekday - AM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,DR,PT,Average Weekday - Midday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,DR,PT,Average Weekday - Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,DR,PT,Average Weekday - PM Peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,MB,DO,Annual Total,,,121,147,,,"6,779,098","6,210,759","568,339","6,211,523","478,625","451,920","26,705",,,,,,,,,"5,238,135",,,"22,164,027",,,,,,,860.4
00002,Spokane Transit Authority,Full Reporter,,Urban,MB,DO,Average Typical Saturday,4:50 AM,12:40 AM,,,,55,"11,995","11,230",765,"11,231",867,833,34,,,,,,,,,"9,539",,,"37,583",51,,,,,,
00002,Spokane Transit Authority,Full Reporter,,Urban,MB,DO,Average Typical Sunday,6:50 AM,8:30 PM,,,,45,"7,890","7,239",651,"7,239",554,524,30,,,,,,,,,"5,915",,,"23,659",59,,,,,,
